"","samples","geiger counts"
"1",1,35
"2",2,43
"3",3,42
"4",4,35
"5",5,50
"6",6,44
"7",7,38
"8",8,24
"9",9,42
"10",10,48
"11",11,39
"12",12,40
"13",13,44
"14",14,44
"15",15,33
"16",16,35
"17",17,30
"18",18,41
"19",19,34
"20",20,31
