Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #13,Run #13,Run #13,Run #14,Run #14,Run #14,Run #15,Run #15,Run #15,Run #16,Run #16,Run #16,Run #17,Run #17,Run #17,Run #18,Run #18,Run #18,Run #19,Run #19,Run #19,Run #20,Run #20,Run #20,Run #21,Run #21,Run #21,Run #22,Run #22,Run #22
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
01/30/2020 09:17:33 am,20.00,75,01/30/2020 09:22:15 am,20.00,61,01/30/2020 09:24:56 am,20.00,76,01/30/2020 09:40:18 am,10.00,19,01/30/2020 09:46:45 am,10.00,1,01/30/2020 09:53:37 am,10.00,0,01/30/2020 09:56:55 am,10.00,0,01/30/2020 10:00:38 am,10.00,1,01/30/2020 10:04:53 am,10.00,6,01/30/2020 10:09:51 am,10.00,1,01/30/2020 10:13:31 am,10.00,0,01/30/2020 10:17:20 am,10.00,0,01/30/2020 10:21:12 am,10.00,1,01/30/2020 10:30:12 am,10.00,8,01/30/2020 10:35:24 am,10.00,4,01/30/2020 10:38:20 am,10.00,9,01/30/2020 10:40:52 am,10.00,8,01/30/2020 10:46:40 am,10.00,10,01/30/2020 10:50:40 am,10.00,5,01/30/2020 10:54:42 am,10.00,2,01/30/2020 10:59:01 am,10.00,0,01/30/2020 11:02:50 am,10.00,6
01/30/2020 09:17:35 am,22.00,71,01/30/2020 09:22:17 am,22.00,79,01/30/2020 09:24:58 am,22.00,67,01/30/2020 09:40:19 am,11.00,10,01/30/2020 09:46:46 am,11.00,2,01/30/2020 09:53:38 am,11.00,0,01/30/2020 09:56:56 am,11.00,0,01/30/2020 10:00:39 am,11.00,0,01/30/2020 10:04:54 am,11.00,7,01/30/2020 10:09:52 am,11.00,1,01/30/2020 10:13:32 am,11.00,0,01/30/2020 10:17:21 am,11.00,0,01/30/2020 10:21:13 am,11.00,0,01/30/2020 10:30:13 am,11.00,6,01/30/2020 10:35:25 am,11.00,7,01/30/2020 10:38:21 am,11.00,13,01/30/2020 10:40:53 am,11.00,4,01/30/2020 10:46:41 am,11.00,6,01/30/2020 10:50:41 am,11.00,6,01/30/2020 10:54:43 am,11.00,0,01/30/2020 10:59:02 am,11.00,1,01/30/2020 11:02:51 am,11.00,5
01/30/2020 09:17:37 am,24.00,62,01/30/2020 09:22:19 am,24.00,75,01/30/2020 09:25:00 am,24.00,73,01/30/2020 09:40:20 am,12.00,10,01/30/2020 09:46:47 am,12.00,1,01/30/2020 09:53:39 am,12.00,1,01/30/2020 09:56:57 am,12.00,1,01/30/2020 10:00:40 am,12.00,0,01/30/2020 10:04:55 am,12.00,10,01/30/2020 10:09:53 am,12.00,4,01/30/2020 10:13:33 am,12.00,4,01/30/2020 10:17:22 am,12.00,1,01/30/2020 10:21:14 am,12.00,0,01/30/2020 10:30:14 am,12.00,10,01/30/2020 10:35:26 am,12.00,8,01/30/2020 10:38:22 am,12.00,7,01/30/2020 10:40:54 am,12.00,5,01/30/2020 10:46:42 am,12.00,4,01/30/2020 10:50:42 am,12.00,4,01/30/2020 10:54:44 am,12.00,2,01/30/2020 10:59:03 am,12.00,0,01/30/2020 11:02:52 am,12.00,9
01/30/2020 09:17:39 am,26.00,74,01/30/2020 09:22:21 am,26.00,58,01/30/2020 09:25:02 am,26.00,66,01/30/2020 09:40:21 am,13.00,11,01/30/2020 09:46:48 am,13.00,2,01/30/2020 09:53:40 am,13.00,1,01/30/2020 09:56:58 am,13.00,1,01/30/2020 10:00:41 am,13.00,0,01/30/2020 10:04:56 am,13.00,7,01/30/2020 10:09:54 am,13.00,7,01/30/2020 10:13:34 am,13.00,1,01/30/2020 10:17:23 am,13.00,0,01/30/2020 10:21:15 am,13.00,0,01/30/2020 10:30:15 am,13.00,11,01/30/2020 10:35:27 am,13.00,6,01/30/2020 10:38:23 am,13.00,10,01/30/2020 10:40:55 am,13.00,11,01/30/2020 10:46:43 am,13.00,8,01/30/2020 10:50:43 am,13.00,2,01/30/2020 10:54:45 am,13.00,2,01/30/2020 10:59:04 am,13.00,0,01/30/2020 11:02:53 am,13.00,5
01/30/2020 09:17:41 am,28.00,82,01/30/2020 09:22:23 am,28.00,62,01/30/2020 09:25:04 am,28.00,68,01/30/2020 09:40:22 am,14.00,16,01/30/2020 09:46:49 am,14.00,1,01/30/2020 09:53:41 am,14.00,0,01/30/2020 09:56:59 am,14.00,1,01/30/2020 10:00:42 am,14.00,1,01/30/2020 10:04:57 am,14.00,4,01/30/2020 10:09:55 am,14.00,7,01/30/2020 10:13:35 am,14.00,3,01/30/2020 10:17:24 am,14.00,0,01/30/2020 10:21:16 am,14.00,0,01/30/2020 10:30:16 am,14.00,8,01/30/2020 10:35:28 am,14.00,9,01/30/2020 10:38:24 am,14.00,11,01/30/2020 10:40:56 am,14.00,9,01/30/2020 10:46:44 am,14.00,4,01/30/2020 10:50:44 am,14.00,7,01/30/2020 10:54:46 am,14.00,0,01/30/2020 10:59:05 am,14.00,0,01/30/2020 11:02:54 am,14.00,2
01/30/2020 09:17:43 am,30.00,63,01/30/2020 09:22:25 am,30.00,73,01/30/2020 09:25:06 am,30.00,80,01/30/2020 09:40:23 am,15.00,12,01/30/2020 09:46:50 am,15.00,0,01/30/2020 09:53:42 am,15.00,2,01/30/2020 09:57:00 am,15.00,0,01/30/2020 10:00:43 am,15.00,0,01/30/2020 10:04:58 am,15.00,5,01/30/2020 10:09:56 am,15.00,7,01/30/2020 10:13:36 am,15.00,0,01/30/2020 10:17:25 am,15.00,0,01/30/2020 10:21:17 am,15.00,0,01/30/2020 10:30:17 am,15.00,6,01/30/2020 10:35:29 am,15.00,8,01/30/2020 10:38:25 am,15.00,15,01/30/2020 10:40:57 am,15.00,18,01/30/2020 10:46:45 am,15.00,5,01/30/2020 10:50:45 am,15.00,4,01/30/2020 10:54:47 am,15.00,0,01/30/2020 10:59:06 am,15.00,0,01/30/2020 11:02:55 am,15.00,5
01/30/2020 09:17:45 am,32.00,80,01/30/2020 09:22:27 am,32.00,78,01/30/2020 09:25:08 am,32.00,64,01/30/2020 09:40:24 am,16.00,14,01/30/2020 09:46:51 am,16.00,0,01/30/2020 09:53:43 am,16.00,0,01/30/2020 09:57:01 am,16.00,1,01/30/2020 10:00:44 am,16.00,1,01/30/2020 10:04:59 am,16.00,4,01/30/2020 10:09:57 am,16.00,1,01/30/2020 10:13:37 am,16.00,2,01/30/2020 10:17:26 am,16.00,0,01/30/2020 10:21:18 am,16.00,0,01/30/2020 10:30:18 am,16.00,10,01/30/2020 10:35:30 am,16.00,9,01/30/2020 10:38:26 am,16.00,8,01/30/2020 10:40:58 am,16.00,11,01/30/2020 10:46:46 am,16.00,4,01/30/2020 10:50:46 am,16.00,3,01/30/2020 10:54:48 am,16.00,2,01/30/2020 10:59:07 am,16.00,0,01/30/2020 11:02:56 am,16.00,3
01/30/2020 09:17:47 am,34.00,60,01/30/2020 09:22:29 am,34.00,59,01/30/2020 09:25:10 am,34.00,60,01/30/2020 09:40:25 am,17.00,19,01/30/2020 09:46:52 am,17.00,0,01/30/2020 09:53:44 am,17.00,2,01/30/2020 09:57:02 am,17.00,0,01/30/2020 10:00:45 am,17.00,0,01/30/2020 10:05:00 am,17.00,6,01/30/2020 10:09:58 am,17.00,8,01/30/2020 10:13:38 am,17.00,6,01/30/2020 10:17:27 am,17.00,0,01/30/2020 10:21:19 am,17.00,0,01/30/2020 10:30:19 am,17.00,7,01/30/2020 10:35:31 am,17.00,11,01/30/2020 10:38:27 am,17.00,9,01/30/2020 10:40:59 am,17.00,6,01/30/2020 10:46:47 am,17.00,9,01/30/2020 10:50:47 am,17.00,7,01/30/2020 10:54:49 am,17.00,2,01/30/2020 10:59:08 am,17.00,0,01/30/2020 11:02:57 am,17.00,6
01/30/2020 09:17:49 am,36.00,90,01/30/2020 09:22:31 am,36.00,71,01/30/2020 09:25:12 am,36.00,75,01/30/2020 09:40:26 am,18.00,12,01/30/2020 09:46:53 am,18.00,0,01/30/2020 09:53:45 am,18.00,0,01/30/2020 09:57:03 am,18.00,0,01/30/2020 10:00:46 am,18.00,1,01/30/2020 10:05:01 am,18.00,4,01/30/2020 10:09:59 am,18.00,3,01/30/2020 10:13:39 am,18.00,1,01/30/2020 10:17:28 am,18.00,1,01/30/2020 10:21:20 am,18.00,0,01/30/2020 10:30:20 am,18.00,9,01/30/2020 10:35:32 am,18.00,13,01/30/2020 10:38:28 am,18.00,11,01/30/2020 10:41:00 am,18.00,9,01/30/2020 10:46:48 am,18.00,1,01/30/2020 10:50:48 am,18.00,5,01/30/2020 10:54:50 am,18.00,0,01/30/2020 10:59:09 am,18.00,0,01/30/2020 11:02:58 am,18.00,7
01/30/2020 09:17:51 am,38.00,65,01/30/2020 09:22:33 am,38.00,61,01/30/2020 09:25:14 am,38.00,66,01/30/2020 09:40:27 am,19.00,12,01/30/2020 09:46:54 am,19.00,0,01/30/2020 09:53:46 am,19.00,1,01/30/2020 09:57:04 am,19.00,0,01/30/2020 10:00:47 am,19.00,0,01/30/2020 10:05:02 am,19.00,3,01/30/2020 10:10:00 am,19.00,8,01/30/2020 10:13:40 am,19.00,0,01/30/2020 10:17:29 am,19.00,0,01/30/2020 10:21:21 am,19.00,1,01/30/2020 10:30:21 am,19.00,11,01/30/2020 10:35:33 am,19.00,16,01/30/2020 10:38:29 am,19.00,8,01/30/2020 10:41:01 am,19.00,5,01/30/2020 10:46:49 am,19.00,3,01/30/2020 10:50:49 am,19.00,5,01/30/2020 10:54:51 am,19.00,0,01/30/2020 10:59:10 am,19.00,1,01/30/2020 11:02:59 am,19.00,2
